Link,MLS,Address,Status,Asking,Zillow
,1407910,"309 Fairington Dr, Summerville, SC 29485",Price Changed,"$199,900 ","http://www.zillow.com/homes/309 Fairington Dr, Summerville, SC 29485_rb/"
,1407915,"5094 Ballantine Dr, Summerville, SC 29485",Price Changed,"$164,900 ","http://www.zillow.com/homes/5094 Ballantine Dr, Summerville, SC 29485_rb/"
,1408089,"100 Orchard Park Dr, Summerville, SC 29485",Price Changed,"$238,000 ","http://www.zillow.com/homes/100 Orchard Park Dr, Summerville, SC 29485_rb/"
,1408215,"119 Fairhaven Dr, Goose Creek, SC 29445",Price Changed,"$211,000 ","http://www.zillow.com/homes/119 Fairhaven Dr, Goose Creek, SC 29445_rb/"
,1408269,"2111 Razorback Ln, Charleston, SC 29414",Price Changed,"$224,800 ","http://www.zillow.com/homes/2111 Razorback Ln, Charleston, SC 29414_rb/"
,1408283,"1441 Ashley Garden Blvd, Charleston, SC 29414",Price Changed,"$249,900 ","http://www.zillow.com/homes/1441 Ashley Garden Blvd, Charleston, SC 29414_rb/"
,1408405,"105 Miller Ct, Summerville, SC 29483",Price Changed,"$188,500 ","http://www.zillow.com/homes/105 Miller Ct, Summerville, SC 29483_rb/"
,1408687,"111 Hollytree Cir, Ladson, SC 29456-3787",Back on Market,"$215,000 ","http://www.zillow.com/homes/111 Hollytree Cir, Ladson, SC 29456-3787_rb/"
,1408791,"1003 Ashley Gardens Blvd, Charleston, SC 29414",Price Changed,"$227,265 ","http://www.zillow.com/homes/1003 Ashley Gardens Blvd, Charleston, SC 29414_rb/"
,1409089,"4820 Wheatfield Dr, Summerville, SC 29485",Price Changed,"$176,000 ","http://www.zillow.com/homes/4820 Wheatfield Dr, Summerville, SC 29485_rb/"
,1409300,"139 White Pine Way, Summerville, SC 29485",Price Changed,"$249,900 ","http://www.zillow.com/homes/139 White Pine Way, Summerville, SC 29485_rb/"
,1409700,"1571 Dowden Ct, Charleston, SC 29407-5010",Price Changed,"$259,700 ","http://www.zillow.com/homes/1571 Dowden Ct, Charleston, SC 29407-5010_rb/"
,1409729,"8546 Sentry Cir, North Charleston, SC 29420",Price Changed,"$256,000 ","http://www.zillow.com/homes/8546 Sentry Cir, North Charleston, SC 29420_rb/"
,1409962,"5017 Basnett Dr, Summerville, SC 29485",Price Changed,"$216,900 ","http://www.zillow.com/homes/5017 Basnett Dr, Summerville, SC 29485_rb/"
,1410202,"2930 Split Hickory Ct, Johns Island, SC 29455",Price Changed,"$231,000 ","http://www.zillow.com/homes/2930 Split Hickory Ct, Johns Island, SC 29455_rb/"
,1410285,"404 Lakeview Dr, Summerville, SC 29485",Price Changed,"$256,900 ","http://www.zillow.com/homes/404 Lakeview Dr, Summerville, SC 29485_rb/"
