Link,MLS,Address,Status,Asking,Zillow
,1409198,"135 Hanahan Plantation Cir, Hanahan, SC 29410",Price Changed,"$189,999 ","http://www.zillow.com/homes/135 Hanahan Plantation Cir, Hanahan, SC 29410_rb/"
,1415190,"4938 Ballantine Drive, Summerville, SC 29485",New,"$168,785 ","http://www.zillow.com/homes/4938 Ballantine Drive, Summerville, SC 29485_rb/"
,1409858,"9032 Fieldstone Trace, Summerville, SC 29485-8726",Price Changed,"$170,000 ","http://www.zillow.com/homes/9032 Fieldstone Trace, Summerville, SC 29485-8726_rb/"
,1414033,"8418 Scotts Mill Dr, North Charleston, SC 29420-8322",Price Changed,"$175,000 ","http://www.zillow.com/homes/8418 Scotts Mill Dr, North Charleston, SC 29420-8322_rb/"
,1415204,"7323 Water Thrush Ct, Hanahan, SC 29410",New,"$179,500 ","http://www.zillow.com/homes/7323 Water Thrush Ct, Hanahan, SC 29410_rb/"
,1408946,"1509 Salisbury St, Charleston, SC 29407-3937",Price Changed,"$188,900 ","http://www.zillow.com/homes/1509 Salisbury St, Charleston, SC 29407-3937_rb/"
,1415153,"114 Harvest Moon Rd, Moncks Corner, SC 29461",New,"$199,900 ","http://www.zillow.com/homes/114 Harvest Moon Rd, Moncks Corner, SC 29461_rb/"
,1414972,"18 Hillcreek Blvd, Charleston, SC 29412",New,"$209,900 ","http://www.zillow.com/homes/18 Hillcreek Blvd, Charleston, SC 29412_rb/"
,1412951,"9167 Spring Branch Ct, North Charleston, SC 29406",Price Changed,"$210,000 ","http://www.zillow.com/homes/9167 Spring Branch Ct, North Charleston, SC 29406_rb/"
,1407849,"524 Walk Easy Ln, Charleston, SC 29407",Price Changed,"$224,000 ","http://www.zillow.com/homes/524 Walk Easy Ln, Charleston, SC 29407_rb/"
,1415202,"111 Speightstown Ct, Goose Creek, SC 29445",New,"$225,000 ","http://www.zillow.com/homes/111 Speightstown Ct, Goose Creek, SC 29445_rb/"
,1409560,"198 Decatur Dr, Summerville, SC 29483",Price Changed,"$249,800 ","http://www.zillow.com/homes/198 Decatur Dr, Summerville, SC 29483_rb/"
,1414256,"3555 Woodbridge Dr, Johns Island, SC 29455",Price Changed,"$260,000 ","http://www.zillow.com/homes/3555 Woodbridge Dr, Johns Island, SC 29455_rb/"
,1410601,"834 Standish St, Charleston, SC 29412",Price Changed,"$225,900 ","http://www.zillow.com/homes/834 Standish St, Charleston, SC 29412_rb/"
